District,ConstituencyTitle,WinningParty,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes,TotalRegisteredVoters,Turnout,Year
sargodha,NA-64,pakistan tehreek-e-insaf,11813,238820,9045,251242,415491,60.48,2013
mirpurkhas,NA-226,pakistan peoples party parlimentarian,63638,115311,2519,117830,261129,45.1,2002
karak,NA-15,independent,1123,159615,4284,162657,314969,51.64,2013
khushab,NA-93,independent,32498,0,0,0,0,57.86,2018
multan,NA-152,pakistan falah party,1186,191113,3641,194063,332921,58.29,2013
pakpattan,NA-164,pakistan muslim league (q),65494,117701,4670,122371,230030,53.2,2002
rawalpindi,NA-56,pakistan muslim league (q),3637,82089,2215,84304,231962,36.34,2002
bahawalnagar,NA-190,jamiat ulama-e-pakistan (noorani),953,192221,6347,198568,324085,61.27,2013
dadu,NA-231,pakistan peoples party parlimentarian,76568,120746,2422,123168,340793,36.1,2002
mardan,NA-9,independent,87,148390,3558,151637,336177,45.12,2013
tribal area,NA-41,pakistan tehreek-e-insaf,667,37461,706,0,92719,0.0,2013
peshawar,NA-4,pakistan muslim league (q),6266,63597,2226,65823,222276,29.61,2002
hangu,NA-16,pakistan peoples party parlimentarian,4700,64933,1657,65140,214703,30.81,2013
battagram,NA-12,awami national party,990,0,0,0,0,35.5,2018
swabi,NA-18,pakistan tehreek-e-insaf,78970,187543,7285,194828,449012,43.39,2018
mianwali,NA-96,muttahida majlis-e-amal pakistan,753,0,0,0,0,57.95,2018
rawalpindi,NA-63,tehreek-e-labbaik pakistan,9744,0,0,0,0,58.14,2018
mansehra,NA-20,pakistan muslim league,73644,155114,3669,158783,437390,36.02,2008
tribal area,NA-41,independent,4,37461,706,0,92719,0.0,2013
kasur,NA-141,muttahidda majlis-e-amal,47,126876,4918,131788,251254,52.45,2008
faisalabad,NA-77,pakistan muslim league (n),98057,175444,5667,180589,294667,61.48,2013
jhelum,NA-63,pakistan muslim league,51666,158985,83,163005,378616,43.0,2008
rawalpindi,NA-51,awami national party,371,239527,5815,245342,452466,54.22,2013
sialkot,NA-114,jamaat-e-islami pakistan,2698,212753,5275,217635,381496,57.05,2013
bolancumjhal magsi old kachhi,NA-267,pakistan muslim league,48275,111548,2020,112222,242024,46.36,2008
multan,NA-151,independent,139,126275,1502,127777,351092,38.85,2008
quetta,NA-265,pakistan tehreek-e-insaf,25973,114731,3422,118153,321117,36.79,2018
killa abdullah,NA-262,pakistan peoples party parlimentarian,27548,136235,1492,135268,392221,34.48,2008
korangi,NA-239,pakistan tehreek-e-insaf,69147,220937,3281,224218,528732,42.41,2018
mardan,NA-10,muttahida qaumi movement,201,93931,2928,96680,256037,37.76,2008
sialkot,NA-74,independent,358,0,0,0,0,55.4,2018
narowal,NA-115,awami qaidat party,1001,100282,4559,104841,237486,44.15,2002
badin,NA-224,pakistan peoples party (shaheed bhutto),418,139013,2582,141595,364228,38.9,2002
dera ghazi khan,NA-173,independent,45355,110619,2586,113205,282633,40.05,2002
sheikhupura,NA-134,pakistan muslim league (n),32113,110106,3773,113879,247581,46.0,2002
kasur,NA-139,mutahida deeni mahaz,849,182988,5734,188869,301506,62.0,2013
rahimyar khan,NA-197,pakistan muslim league (n),82565,140934,5108,145705,352085,41.0,2008
gujranwala,NA-82,tehreek-e-labbaik islam,16545,0,0,0,0,52.26,2018
bahawalnagar,NA-190,independent,121,192221,6347,198568,324085,61.27,2013
shikarpur,NA-198,pakistan peoples party parlimentarian,64187,145781,7328,153109,305410,50.13,2018
killa,NA-262,independent,453,85585,3521,89106,265538,33.6,2002
khairpur,NA-216,pakistan muslim league (f),97347,178296,4623,182708,378628,48.25,2008
lahore,NA-126,istiqlal party,17,196155,1916,196045,359492,55.0,2013
tribal area,NA-45,independent,13876,34966,513,35612,101272,35.16,2008
tribal area,NA-47,independent,21426,47706,402,46123,131222,35.14,2008
tribal area,NA-37,independent,21053,41321,711,42032,138559,30.34,2002
sanghar,NA-236,pakistan peoples party parlimentarian,56628,132706,1045,133751,290977,46.0,2002
bahawalpur,NA-186,national alliance,60456,138255,3245,141500,287829,49.16,2002
charsadda,NA-24,pakistan tehreek-e-insaf,83495,202073,7832,209905,463440,45.29,2018
tor ghar cum mansehra,NA-21,independent,814,172537,5660,177071,392364,45.13,2013
karak,NA-15,muttahidda majlis-e-amal,31325,95644,1780,97424,251508,38.74,2002
mardan,NA-10,pakistan peoples party parlimentarian,23138,93931,2928,96680,256037,37.76,2008
sawat,NA-30,muttahidda majlis-e-amal,67085,99169,3134,102303,315636,32.41,2002
chiniotii cumjhang old na jhang,NA-87,pakistan muslim league (n),93651,206990,8488,215478,367617,58.61,2013
nankana sahibicumsheikhupura old sheikhupura,NA-135,pakistan peoples party parlimentarian,9786,161938,6870,168588,285289,59.09,2013
lahore,NA-119,pakistan muslim league (n),43166,75965,971,76936,280155,27.46,2002
ghotki,NA-201,independent,74714,127440,4003,131439,282085,46.19,2008
sargodha,NA-91,tehreek-e-labbaik islam,2416,0,0,0,0,59.45,2018
killa,NA-263,independent,38,0,0,0,0,41.03,2018
karachi,NA-241,pakistan muslim league (n),3510,145735,1609,147344,268582,54.85,2008
lower dir,NA-34,muttahidda majlis-e-amal,11449,87451,2746,90029,371903,24.2,2008
buner,NA-28,awami national party,30903,77626,1805,79431,290460,27.346,2008
khushab,NA-94,independent,43738,0,0,0,0,59.49,2018
sialkot,NA-113,independent,172,155414,5996,161406,292273,55.02,2008
swat,NA-30,pakistan peoples party parlimentarian,16373,158098,7228,165325,460748,35.88,2013
sargodha,NA-67,muttahidda majlis-e-amal,38136,145378,4665,150043,305379,49.13,2002
kohat,NA-14,national alliance,1520,95825,3748,99573,317082,31.4,2002
tribal area,NA-41,independent,6948,37461,706,0,92719,0.0,2013
lodhran,NA-155,independent,55,153001,1123,154124,272048,56.65,2008
kachhi,NA-267,national alliance,57751,78230,1784,80014,230836,34.7,2002
tribal area,NA-45,independent,13876,34966,513,35612,101272,35.16,2008
faisalabad,NA-85,independent,108,197858,2496,200354,331974,60.35,2013
okara,NA-144,independent,173,0,0,0,0,57.42,2018
dikhan,NA-24,independent,388,138631,4287,142843,347165,41.14,2008
rawalpindi,NA-53,pakistan muslim league (n),72257,175409,4509,179918,343853,52.32,2008
rahimyar,NA-179,pakistan tehreek-e-insaf,110827,249334,4009,253343,442531,57.25,2018
peshawar,NA-27,independent,860,0,0,0,0,45.83,2018
mardan,NA-11,muttahidda majlis-e-amal,18155,39941,495,40436,256479,15.77,2008
rawalpindi,NA-59,independent,66369,0,0,0,0,58.78,2018
karachi,NA-243,pakistan muslim league (q),2580,93893,108,94001,250670,37.5,2002
faisalabad,NA-77,jamaat-e-islami pakistan,961,175444,5667,180589,294667,61.48,2013
kashmore old jacobabad,NA-210,independent,104,84801,1521,86322,292284,29.53,2008
faisalabad,NA-75,pakistan muslim league (q),55464,131722,3243,134965,297842,45.31,2002
multan,NA-159,pakistan tehreek-e-insaf,102606,226785,6628,233413,413257,56.48,2018
gujrat,NA-69,pakistan muslim league,122336,212770,5030,217800,467378,46.6,2018
lakki marwat,NA-27,independent,697,123547,3874,126515,266658,47.44,2008
shaheed,NA-213,pakistan muslim league (n),7803,0,0,0,0,46.86,2018
sheikhupura,NA-134,millat party,0,146443,5605,151990,250183,60.75,2013
nankana sahibii cumsheikhupura old sheikhupura,NA-136,pakistan muslim league (n),73775,168173,6739,174787,285503,61.22,2013
karachi,NA-253,pakistan peoples party parlimentarian,13947,79703,1101,80804,249365,32.4,2002
islamabad,NA-54,pakhtoonkhwa milli awami party,51,0,0,0,0,54.24,2018
nankana sahibicumsheikhupura old sheikhupura,NA-135,independent,98,161938,6870,168588,285289,59.09,2013
narowal,NA-117,pakistan tehreek-e-insaf,51359,154637,3067,157566,272892,57.73,2013
gujranwala,NA-83,independent,334,0,0,0,0,55.07,2018
peshawar,NA-31,independent,195,0,0,0,0,42.2,2018
kasur,NA-139,independent,635,117709,3663,121313,239473,50.66,2008
hangu,NA-16,independent,479,64933,1657,65140,214703,30.81,2013
tribal,NA-41,pakistan tehreek-e-insaf,22730,88439,2073,90512,237153,38.17,2018
jhelum,NA-63,pakistan muslim league,34072,203481,5273,208229,386957,53.87,2013
tando muhammad khancumhyderabadcumbadin hyderabad,NA-222,national peoples party,76,146770,6617,153480,260060,59.08,2013
okara,NA-147,independent,137,95961,0,96809,322087,30.06,2008
peshawar,NA-3,independent,1228,173647,5276,177823,384086,46.3,2013
rahimyar,NA-176,pakistan muslim league (n),78536,211149,5080,216229,394282,54.84,2018
nanka sahibi old sheikhupura,NA-135,pakistan muslim league (n),46739,124469,6006,124469,227137,54.79,2008
haripur,NA-19,pakistan muslim league (n),98670,222498,5757,228105,484252,47.1,2008
toba,NA-111,tehreek-e-labbaik pakistan,8830,0,0,0,0,58.32,2018
karachi,NA-249,muttahida qaumi movement,103846,180748,1709,182584,388099,47.0,2008
tribal area,NA-40,independent,9,34638,591,35254,126453,27.87,2008
kasur,NA-139,independent,40352,0,0,0,0,59.99,2018
sargodha,NA-66,pakistan peoples party parlimentarian,29624,212172,3065,214460,384131,56.83,2013
sukkur cum shikarpur,NA-198,independent,47,107595,2465,110038,265679,41.41,2008
naushehro feroz,NA-211,national peoples party,83960,162722,7613,170114,287886,59.09,2013
tribal area,NA-40,independent,5894,34638,591,35254,126453,27.87,2008
tribal,NA-49,independent,94,0,0,0,0,20.71,2018
nankana,NA-118,pakistan peoples party parlimentarian,18726,0,0,0,0,58.64,2018
kasur,NA-141,independent,114,107743,3189,110932,256425,43.26,2002
kasur,NA-137,independent,654,0,0,0,0,58.91,2018
chakwal,NA-61,independent,50,148918,3494,226985,395039,38.42,2008
badin,NA-224,pakistan peoples party parlimentarian,70231,139013,2582,141595,364228,38.9,2002
lahore,NA-127,independent,2277,93052,1338,94390,279080,33.82,2008
khairpur,NA-216,pakistan muslim league (f),97347,178296,4623,182708,378628,48.25,2008
peshawar,NA-1,muttahida qaumi movement,151,88325,629,88913,387083,22.97,2008
rahimyar khan,NA-197,muttahida qaumi movement,479,140934,5108,145705,352085,41.0,2008
kasur,NA-140,all pakistan bayrozgar party,89,182127,5715,185869,291601,63.74,2013
jhang,NA-90,independent,56647,116344,2910,119254,230982,51.63,2002
bahawalpur,NA-184,independent,99,134088,1736,135823,321784,42.2,2008
faisalabad,NA-85,independent,108,197858,2496,200354,331974,60.35,2013
pishincumziarat,NA-261,independent,14,81820,3191,85306,297591,28.66,2008
nankana sahibiii old sheikhupra,NA-137,pakistan tehreek-e-insaf,8896,169065,6641,175596,287484,61.08,2013
karachi,NA-257,awami qaidat party,73,105413,1630,107043,256535,41.7,2002
sanghar,NA-217,pakistan peoples party parlimentarian,103221,158947,6389,165336,345442,47.86,2018
shikarpur old shikarpur,NA-202,pakistan peoples party parlimentarian,47379,101773,4577,106350,275349,38.62,2008
khuzdar,NA-269,independent,1189,58663,4201,62852,186598,33.68,2008
mirpurkhas,NA-219,tabdeeli pasand party pakistan,533,0,0,0,0,53.39,2018
ghotki,NA-201,pakistan peoples party parlimentarian,51894,127440,4003,131439,282085,46.19,2008
swat,NA-30,awami national party,3804,69314,2918,79986,404540,19.8,2008
ghotki,NA-201,independent,117,104775,4284,109059,285481,38.2,2002
sheikhupura,NA-131,pakistan muslim league (n),119180,123186,1100,124286,221111,56.2,2008
kasur,NA-139,independent,635,117709,3663,121313,239473,50.66,2008
bahawalnagar,NA-166,independent,786,0,0,0,0,62.92,2018
tribal,NA-43,pakistan tehreek-e-insaf,33243,84335,1557,85892,226627,37.9,2018
karachi,NA-244,muttahida qaumi movement,174044,185581,1492,187074,290891,64.31,2008
tribal area,NA-40,independent,95,77113,857,77970,160666,48.52,2013
rawalpindi,NA-52,pakistan muslim league,43866,255828,4329,259631,455186,57.04,2013
hyderabadcummatiari oldhyderabad,NA-221,mutahida deeni mahaz,997,115458,24516,139974,269066,52.02,2013
ghotki,NA-204,pakistan peoples party parlimentarian,99878,204069,10058,214127,366842,58.37,2018
tribal area,NA-43,independent,3599,26625,748,27373,114139,23.98,2002
bahawalnagar,NA-188,pakistan muslim league,52981,142799,5542,148311,269766,54.98,2008
nawabshah,NA-213,pakistan peoples party parlimentarian,75237,129270,3183,132453,330639,40.06,2002
kachhicumjhal magsi,NA-267,national party,995,88280,2448,90452,147595,61.28,2013
lahore,NA-128,independent,380,0,0,0,0,55.21,2018
nausheroferoze,NA-211,pakistan muslim league (n),609,129232,2610,131842,329798,40.0,2002
tribal area,NA-47,independent,22,34627,414,35041,120963,28.97,2002
gujranwala,NA-96,pakistan muslim league (n),105182,154948,2997,154760,303568,52.0,2013
chakwal,NA-61,independent,131,275247,9752,272744,443677,61.0,2013
vehari,NA-168,pakistan peoples party parlimentarian,47841,141072,3773,144845,277169,52.26,2002
karachi,NA-256,pakistan muslim league (j),179,90810,873,91683,261912,35.0,2002
multan,NA-148,independent,195,138099,0,150402,344896,43.6,2008
quetta,NA-259,pakistan pakhtoonkhawa milli awami party,17240,73810,1691,75501,310948,24.3,2002
malakand,NA-8,pakistan tehreek-e-insaf,81310,180838,5591,186429,386449,48.24,2018
karachi,NA-247,muttahida qaumi movement,168007,182714,1321,184035,303455,60.0,2008
muzaffargarh,NA-176,muttahida qaumi movement,1093,142246,4582,146584,275075,53.28,2008
lahore,NA-134,allah-o-akbar tehreek,675,0,0,0,0,53.4,2018
faisalabad,NA-101,tehreek-e-labbaik islam,1523,0,0,0,0,58.19,2018
hafizabad,NA-87,tehreek-e-labbaik pakistan,44130,0,0,0,0,59.13,2018
mandi,NA-85,allah-o-akbar tehreek,1733,0,0,0,0,53.45,2018
mirpurkhascumumerkot,NA-226,pakistan peoples party parlimentarian,78543,143934,4184,148116,354611,41.76,2008
gujranwala,NA-79,pakistan muslim league (n),142545,291214,4960,296174,541848,54.66,2018
gujranwala,NA-95,muttahidda majlis-e-amal,337,107847,2113,109921,328711,33.4,2008
bahawalpur,NA-170,independent,40,0,0,0,0,52.29,2018
bhakkar,NA-74,pakistan tehreek-e-insaf,6199,246463,12216,255739,375159,68.16,2013
faisalabad,NA-85,pakistan muslim league (n),72197,130907,2023,132930,286136,46.45,2008
tribal area,NA-47,independent,54,47706,402,46123,131222,35.14,2008
okara,NA-147,independent,31,95961,0,96809,322087,30.06,2008
tribal area,NA-41,independent,35,37461,706,0,92719,0.0,2013
peshawar,NA-3,awami national party,26201,90895,2566,93241,257192,36.25,2008
faisalabad,NA-77,independent,754,175444,5667,180589,294667,61.48,2013
muzaffargarh,NA-176,pakistan peoples party parlimentarian,50826,142246,4582,146584,275075,53.28,2008
malir,NA-237,tehreek-e-labbaik pakistan,11665,0,0,0,0,42.23,2018
dadu,NA-233,pakistan muslim league (q),62388,115441,1829,117270,329858,35.6,2002
abbottabad,NA-18,muttahida qaumi movement,154,150979,3843,154603,347770,44.26,2008
haripur,NA-19,independent,71254,222498,5757,228105,484252,47.1,2008
khushab,NA-69,independent,60443,164024,6117,170111,283887,59.92,2008
quetta,NA-264,muttahida majlis-e-amal pakistan,14887,67291,2596,69887,175744,39.77,2018
multan,NA-150,pakistan tehreek-e-insaf,92761,190785,2155,192888,373331,51.67,2013
korangi,NA-241,pakistan tehreek-e-insaf,26706,111812,2260,114072,314450,36.28,2018
lahore,NA-124,jamiat ulama-e-pakistan (noorani),101,171312,2431,174436,322562,53.56,2013
mianwal,NA-71,independent,322,216394,7988,222919,386930,57.61,2013
okara,NA-144,independent,105585,0,0,0,0,57.42,2018
charsadda,NA-8,awami national party,15953,139141,4625,143540,327423,43.63,2013
faisalabad,NA-85,pakistan gharib party,131,111265,1673,112938,288603,39.13,2002
vehari,NA-167,independent,180,152880,1367,154247,363091,42.48,2008
tribal area,NA-38,independent,16525,24900,19,24919,87993,28.31,2008
gujrat,NA-70,pakistan tehreek-e-insaf,95168,235525,10559,246084,494780,49.74,2018
sheikhupura,NA-132,independent,99,101681,2461,104142,251788,41.36,2002
lakki marwat,NA-27,independent,448,169216,5277,174492,330921,53.0,2013
vehari,NA-168,independent,2976,120626,1460,153840,313416,49.8,2008
tribal area,NA-47,independent,5448,34627,414,35041,120963,28.97,2002
tribal,NA-43,independent,99,0,0,0,0,37.9,2018
abbottabad,NA-18,hazara awami ittehad pakistan,214,181627,6784,187224,336924,55.57,2013
sahiwal,NA-160,pakistan muslim league (n),59373,124168,3699,127082,248573,51.12,2008
gujranwala,NA-99,independent,2016,179614,6044,178899,318029,56.25,2013
kasur,NA-141,pakistan muslim league (n),96737,187800,7239,194340,309577,62.78,2013
hangu,NA-33,muttahida majlis-e-amal pakistan,27968,0,0,0,0,28.47,2018
gujranwala,NA-96,pakistan peoples party parlimentarian,13667,154948,2997,154760,303568,52.0,2013
lahore,NA-124,pakistan tehreek-e-insaf,80981,0,0,0,0,48.5,2018
lahore,NA-124,muttahidda majlis-e-amal,0,106458,2030,108266,275697,39.0,2008
jhang,NA-87,pakistan muslim league,63515,142022,6457,146653,307499,47.6,2008
sargodha,NA-64,pakistan peoples party parlimentarian,67212,238820,9045,251242,415491,60.48,2013
mianwali,NA-95,independent,476,0,0,0,0,54.29,2018
mianwali,NA-72,independent,49294,160128,6286,165729,307839,53.83,2008
lahore,NA-128,independent,1357,220114,3174,220976,418384,64.0,2013
tribal area,NA-41,jamiat ulama-e-islam (f),3045,37461,706,0,92719,0.0,2013
faisalabad,NA-78,awami justice party pakistan,2645,177008,12488,188935,301973,62.57,2013
muzaffargarh,NA-179,pakistan peoples party parlimentarian,79643,146490,2728,148411,264185,56.0,2008
tribal,NA-45,independent,56,0,0,0,0,35.01,2018
hyderabad,NA-221,independent,121,68266,1466,69732,223681,31.2,2002
khairpur,NA-217,pakistan peoples party parlimentarian,77125,132957,4947,138606,341935,40.53,2008
sahiwal,NA-161,pakistan muslim league (q),38207,122960,4701,127661,270851,47.13,2002
gujrat,NA-106,pakistan muslim league (n),83024,213817,6893,222983,413565,53.91,2013
karachi,NA-253,muttahida qaumi movement,52426,152046,1970,154016,404053,38.12,2018
bahawalpur,NA-186,jamaat-e-islami pakistan,906,192519,5709,197717,310421,63.69,2013
kohat,NA-14,pakistan tehreek-e-insaf,68129,170165,5600,174912,409775,42.68,2013
toba,NA-113,independent,960,0,0,0,0,59.9,2018
toba tek singh,NA-92,jamaat-e-islami pakistan,2200,216146,8058,218731,354476,60.7,2013
chakwal,NA-61,pakistan muslim league (n),114282,275247,9752,272744,443677,61.0,2013
tribal,NA-45,independent,52,0,0,0,0,35.01,2018
nankana sahibii old sheikhupura,NA-137,independent,54732,124965,5452,130408,234225,55.6,2008
lahore,NA-133,pakistan tehreek-e-insaf,77231,0,0,0,0,51.89,2018
tribal area,NA-46,independent,4,16896,142,0,0,0.0,2013
gujrat,NA-106,pakistan muslim league (n),10506,172429,6456,179026,322310,55.54,2008
faisalabad,NA-79,independent,94,192563,7322,190941,335868,56.85,2013
gujrat,NA-71,pakistan muslim league (n),88588,246856,6244,253100,497500,50.87,2018
kohat,NA-14,awami national party,11299,95825,3748,99573,317082,31.4,2002
peshawar,NA-1,jamaat-e-islami pakistan,7051,145924,2103,146044,320578,46.18,2013
lahore,NA-128,independent,121,220114,3174,220976,418384,64.0,2013
nowshera,NA-26,pakistan tehreek-e-insaf,90256,182523,5636,188159,377308,49.87,2018
tribal area,NA-45,independent,9121,19698,348,20046,91361,21.94,2002
tribal area,NA-41,independent,8177,30640,600,31240,94077,33.2,2008
karachi,NA-241,muttahidda majlis-e-amal,26812,73634,924,74558,201562,37.0,2002
tribal area,NA-41,independent,37,26188,844,27032,86598,31.22,2002
karachi,NA-249,muttahida qaumi movement,30458,85681,900,86581,250626,34.5,2002
jacobabad,NA-209,pakistan muslim league (q),39024,92836,2999,95835,281410,34.1,2002
ghotki,NA-200,pakistan peoples party parlimentarian,68296,108710,3946,112656,281655,40.0,2002
gujrat,NA-107,pakistan peoples party parlimentarian,52484,158143,5399,163542,308463,53.02,2002
bhakkar,NA-74,pakistan peoples party parlimentarian,13489,246463,12216,255739,375159,68.16,2013
jhangii old na jhang,NA-90,independent,96,152655,7256,159911,238856,66.67,2013
